,Awards,Awards_won,Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_won,Prime_Emmys_Awards_won,BAFTA_Awards_won,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,Prime_Emmys_Awards_nominated,BAFTA_Awards_nominated
10572,3 nominations.,0,3,0,0,0,0,0,0,0,0
10575,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
10577,1 nomination.,0,1,0,0,0,0,0,0,0,0
10580,1 win.,1,0,0,0,0,0,0,0,0,0
10586,4 nominations.,0,4,0,0,0,0,0,0,0,0
10590,7 nominations.,0,7,0,0,0,0,0,0,0,0
10593,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
10595,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
10610,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
10614,Nominated for 1 Oscar. Another 8 wins & 28 nominations.,8,29,0,0,0,0,1,0,0,0
10617,2 nominations.,0,2,0,0,0,0,0,0,0,0
10621,1 nomination.,0,1,0,0,0,0,0,0,0,0
10622,1 nomination.,0,1,0,0,0,0,0,0,0,0
10623,1 nomination.,0,1,0,0,0,0,0,0,0,0
10626,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
10628,17 wins & 32 nominations.,17,32,0,0,0,0,0,0,0,0
10635,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
10636,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
10639,17 wins & 28 nominations.,17,28,0,0,0,0,0,0,0,0
10640,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
10641,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
10642,Nominated for 1 Golden Globe. Another 5 wins & 39 nominations.,5,40,0,0,0,0,0,1,0,0
10643,2 nominations.,0,2,0,0,0,0,0,0,0,0
10644,3 nominations.,0,3,0,0,0,0,0,0,0,0
10645,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10647,2 nominations.,0,2,0,0,0,0,0,0,0,0
10649,Won 1 Oscar. Another 91 wins & 95 nominations.,92,95,1,0,0,0,0,0,0,0
10651,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
10652,5 wins & 10 nominations.,5,10,0,0,0,0,0,0,0,0
10653,1 win.,1,0,0,0,0,0,0,0,0,0
10654,10 nominations.,0,10,0,0,0,0,0,0,0,0
10657,1 nomination.,0,1,0,0,0,0,0,0,0,0
10658,1 win.,1,0,0,0,0,0,0,0,0,0
10665,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
10666,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
10669,2 nominations.,0,2,0,0,0,0,0,0,0,0
10670,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
10673,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
10674,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
10676,Nominated for 1 BAFTA Film Award. Another 1 win & 18 nominations.,1,19,0,0,0,0,0,0,0,1
10677,1 nomination.,0,1,0,0,0,0,0,0,0,0
10678,1 nomination.,0,1,0,0,0,0,0,0,0,0
10679,Nominated for 1 Oscar. Another 9 wins & 18 nominations.,9,19,0,0,0,0,1,0,0,0
10681,1 win.,1,0,0,0,0,0,0,0,0,0
10684,Won 1 Oscar. Another 7 wins & 29 nominations.,8,29,1,0,0,0,0,0,0,0
10685,Nominated for 3 Oscars. Another 32 wins & 141 nominations.,32,144,0,0,0,0,3,0,0,0
10687,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0,0
10690,5 wins & 41 nominations.,5,41,0,0,0,0,0,0,0,0
10692,7 wins & 14 nominations.,7,14,0,0,0,0,0,0,0,0
10694,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
10696,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
10697,Nominated for 1 Golden Globe. Another 1 win & 44 nominations.,1,45,0,0,0,0,0,1,0,0
10699,2 nominations.,0,2,0,0,0,0,0,0,0,0
10700,Nominated for 5 Oscars. Another 47 wins & 106 nominations.,47,111,0,0,0,0,5,0,0,0
10701,Won 1 Golden Globe. Another 2 wins & 17 nominations.,3,17,0,1,0,0,0,0,0,0
10703,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
10704,1 nomination.,0,1,0,0,0,0,0,0,0,0
10706,2 wins.,2,0,0,0,0,0,0,0,0,0
10707,6 wins & 33 nominations.,6,33,0,0,0,0,0,0,0,0
10708,1 nomination.,0,1,0,0,0,0,0,0,0,0
10711,2 nominations.,0,2,0,0,0,0,0,0,0,0
10713,3 nominations.,0,3,0,0,0,0,0,0,0,0
10720,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10721,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10722,1 nomination.,0,1,0,0,0,0,0,0,0,0
10726,6 wins.,6,0,0,0,0,0,0,0,0,0
10727,1 nomination.,0,1,0,0,0,0,0,0,0,0
10728,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10729,7 nominations.,0,7,0,0,0,0,0,0,0,0
10732,2 wins.,2,0,0,0,0,0,0,0,0,0
10734,Won 9 Primetime Emmys. Another 17 wins & 17 nominations.,26,17,0,0,9,0,0,0,0,0
10735,1 win.,1,0,0,0,0,0,0,0,0,0
10736,1 nomination.,0,1,0,0,0,0,0,0,0,0
10741,1 win.,1,0,0,0,0,0,0,0,0,0
10742,Nominated for 1 Oscar. Another 2 wins & 49 nominations.,2,50,0,0,0,0,1,0,0,0
10743,5 nominations.,0,5,0,0,0,0,0,0,0,0
10745,1 nomination.,0,1,0,0,0,0,0,0,0,0
10746,1 nomination.,0,1,0,0,0,0,0,0,0,0
10752,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
10758,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
10762,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
10766,Nominated for 1 Golden Globe. Another 10 wins & 53 nominations.,10,54,0,0,0,0,0,1,0,0
10767,2 nominations.,0,2,0,0,0,0,0,0,0,0
10769,5 nominations.,0,5,0,0,0,0,0,0,0,0
10771,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
10780,1 win.,1,0,0,0,0,0,0,0,0,0
10794,1 win.,1,0,0,0,0,0,0,0,0,0
10795,1 nomination.,0,1,0,0,0,0,0,0,0,0
10796,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
10799,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
10800,4 wins.,4,0,0,0,0,0,0,0,0,0
10805,8 wins & 22 nominations.,8,22,0,0,0,0,0,0,0,0
10806,1 nomination.,0,1,0,0,0,0,0,0,0,0
10807,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10810,1 nomination.,0,1,0,0,0,0,0,0,0,0
10811,1 win.,1,0,0,0,0,0,0,0,0,0
10813,Nominated for 5 Primetime Emmys. Another 12 nominations.,0,17,0,0,0,0,0,0,5,0
10822,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
10825,2 nominations.,0,2,0,0,0,0,0,0,0,0
10836,Nominated for 7 Primetime Emmys. Another 1 win & 26 nominations.,1,33,0,0,0,0,0,0,7,0
10837,Nominated for 5 Primetime Emmys. Another 2 wins & 11 nominations.,2,16,0,0,0,0,0,0,5,0
10843,Nominated for 11 Primetime Emmys. Another 7 wins & 26 nominations.,7,37,0,0,0,0,0,0,11,0
10847,2 wins.,2,0,0,0,0,0,0,0,0,0
10852,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
10854,1 nomination.,0,1,0,0,0,0,0,0,0,0
10861,2 nominations.,0,2,0,0,0,0,0,0,0,0
10865,1 nomination.,0,1,0,0,0,0,0,0,0,0
10866,1 win.,1,0,0,0,0,0,0,0,0,0
10872,1 win.,1,0,0,0,0,0,0,0,0,0
10881,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10882,1 win.,1,0,0,0,0,0,0,0,0,0
10889,Won 1 Primetime Emmy. Another 1 nomination.,1,1,0,0,1,0,0,0,0,0
10891,11 nominations.,0,11,0,0,0,0,0,0,0,0
10899,Nominated for 3 Golden Globes. Another 9 wins & 50 nominations.,9,53,0,0,0,0,0,3,0,0
10901,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
10903,1 nomination.,0,1,0,0,0,0,0,0,0,0
10905,6 nominations.,0,6,0,0,0,0,0,0,0,0
10913,5 wins & 26 nominations.,5,26,0,0,0,0,0,0,0,0
10914,11 wins.,11,0,0,0,0,0,0,0,0,0
10915,Nominated for 1 Golden Globe. Another 1 win & 10 nominations.,1,11,0,0,0,0,0,1,0,0
10929,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
10935,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
10937,1 nomination.,0,1,0,0,0,0,0,0,0,0
10940,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
10943,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
10947,3 wins.,3,0,0,0,0,0,0,0,0,0
10949,Nominated for 3 Primetime Emmys. Another 2 wins & 7 nominations.,2,10,0,0,0,0,0,0,3,0
10959,1 nomination.,0,1,0,0,0,0,0,0,0,0
10960,1 win.,1,0,0,0,0,0,0,0,0,0
10967,1 win.,1,0,0,0,0,0,0,0,0,0
10969,1 win.,1,0,0,0,0,0,0,0,0,0
10984,Won 1 Primetime Emmy. Another 1 win & 13 nominations.,2,13,0,0,1,0,0,0,0,0
10986,Won 4 Primetime Emmys. Another 1 win & 6 nominations.,5,6,0,0,4,0,0,0,0,0
10994,5 wins & 1 nomination.,5,1,0,0,0,0,0,0,0,0
10999,2 nominations.,0,2,0,0,0,0,0,0,0,0
11000,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11002,3 wins & 19 nominations.,3,19,0,0,0,0,0,0,0,0
11003,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
11011,5 wins & 8 nominations.,5,8,0,0,0,0,0,0,0,0
11024,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
11027,1 win.,1,0,0,0,0,0,0,0,0,0
11031,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11034,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11069,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
11073,6 nominations.,0,6,0,0,0,0,0,0,0,0
11074,1 nomination.,0,1,0,0,0,0,0,0,0,0
11077,4 nominations.,0,4,0,0,0,0,0,0,0,0
11085,1 nomination.,0,1,0,0,0,0,0,0,0,0
11087,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
11088,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
11099,1 nomination.,0,1,0,0,0,0,0,0,0,0
11101,1 nomination.,0,1,0,0,0,0,0,0,0,0
11105,1 nomination.,0,1,0,0,0,0,0,0,0,0
11107,1 nomination.,0,1,0,0,0,0,0,0,0,0
11110,1 nomination.,0,1,0,0,0,0,0,0,0,0
11114,1 win.,1,0,0,0,0,0,0,0,0,0
11119,1 nomination.,0,1,0,0,0,0,0,0,0,0
11122,7 nominations.,0,7,0,0,0,0,0,0,0,0
11130,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
11132,2 nominations.,0,2,0,0,0,0,0,0,0,0
11134,1 nomination.,0,1,0,0,0,0,0,0,0,0
11141,1 nomination.,0,1,0,0,0,0,0,0,0,0
11145,1 nomination.,0,1,0,0,0,0,0,0,0,0
11147,1 win.,1,0,0,0,0,0,0,0,0,0
11149,1 nomination.,0,1,0,0,0,0,0,0,0,0
11158,6 wins & 5 nominations.,6,5,0,0,0,0,0,0,0,0
11165,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
11179,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11186,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
11203,Nominated for 3 Primetime Emmys. Another 12 nominations.,0,15,0,0,0,0,0,0,3,0
11215,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11216,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11217,3 wins.,3,0,0,0,0,0,0,0,0,0
11219,3 nominations.,0,3,0,0,0,0,0,0,0,0
11222,Won 1 Golden Globe. Another 4 wins & 9 nominations.,5,9,0,1,0,0,0,0,0,0
11230,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11235,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
11248,5 wins & 3 nominations.,5,3,0,0,0,0,0,0,0,0
11250,2 nominations.,0,2,0,0,0,0,0,0,0,0
11253,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
11255,3 nominations.,0,3,0,0,0,0,0,0,0,0
11256,Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,3,9,0,0,0,0,0,1,0,0
11257,3 nominations.,0,3,0,0,0,0,0,0,0,0
11258,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
11263,Won 2 Golden Globes. Another 15 wins & 26 nominations.,17,26,0,2,0,0,0,0,0,0
11266,2 nominations.,0,2,0,0,0,0,0,0,0,0
11269,1 win.,1,0,0,0,0,0,0,0,0,0
11295,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0,0
11299,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11303,2 wins.,2,0,0,0,0,0,0,0,0,0
11325,1 nomination.,0,1,0,0,0,0,0,0,0,0
11331,1 win.,1,0,0,0,0,0,0,0,0,0
11358,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
11360,1 nomination.,0,1,0,0,0,0,0,0,0,0
11361,7 wins & 3 nominations.,7,3,0,0,0,0,0,0,0,0
11363,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11368,1 nomination.,0,1,0,0,0,0,0,0,0,0
11383,Nominated for 1 Oscar. Another 5 wins & 15 nominations.,5,16,0,0,0,0,1,0,0,0
11384,2 wins.,2,0,0,0,0,0,0,0,0,0
11388,1 win.,1,0,0,0,0,0,0,0,0,0
11393,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
11395,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination.,1,5,0,0,0,0,0,0,4,0
11414,1 nomination.,0,1,0,0,0,0,0,0,0,0
11423,2 nominations.,0,2,0,0,0,0,0,0,0,0
11432,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
11455,1 nomination.,0,1,0,0,0,0,0,0,0,0
11468,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
11472,2 wins.,2,0,0,0,0,0,0,0,0,0
11497,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
11503,1 win.,1,0,0,0,0,0,0,0,0,0
11507,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,1,6,0,0,0,0,0,0,1,0
11516,1 nomination.,0,1,0,0,0,0,0,0,0,0
11517,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
11526,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
11542,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
11543,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11559,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11568,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
11579,9 wins & 3 nominations.,9,3,0,0,0,0,0,0,0,0
11593,1 nomination.,0,1,0,0,0,0,0,0,0,0
11600,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
11604,4 wins.,4,0,0,0,0,0,0,0,0,0
11620,2 nominations.,0,2,0,0,0,0,0,0,0,0
11623,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
11628,1 nomination.,0,1,0,0,0,0,0,0,0,0
11635,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11647,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
11659,1 nomination.,0,1,0,0,0,0,0,0,0,0
11673,3 wins.,3,0,0,0,0,0,0,0,0,0
11675,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
11678,1 win.,1,0,0,0,0,0,0,0,0,0
11684,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
11688,2 wins.,2,0,0,0,0,0,0,0,0,0
11689,1 nomination.,0,1,0,0,0,0,0,0,0,0
11698,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
11714,2 nominations.,0,2,0,0,0,0,0,0,0,0
11730,1 nomination.,0,1,0,0,0,0,0,0,0,0
11750,1 nomination.,0,1,0,0,0,0,0,0,0,0
11758,5 wins.,5,0,0,0,0,0,0,0,0,0
11795,1 nomination.,0,1,0,0,0,0,0,0,0,0
11830,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
11836,1 nomination.,0,1,0,0,0,0,0,0,0,0
11840,Nominated for 2 Primetime Emmys. Another 3 nominations.,0,5,0,0,0,0,0,0,2,0
11852,1 nomination.,0,1,0,0,0,0,0,0,0,0
11854,4 wins.,4,0,0,0,0,0,0,0,0,0
11870,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11876,1 nomination.,0,1,0,0,0,0,0,0,0,0
11914,1 nomination.,0,1,0,0,0,0,0,0,0,0
11933,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
11955,2 nominations.,0,2,0,0,0,0,0,0,0,0
11960,1 nomination.,0,1,0,0,0,0,0,0,0,0
11962,1 win.,1,0,0,0,0,0,0,0,0,0
11965,1 nomination.,0,1,0,0,0,0,0,0,0,0
11995,1 nomination.,0,1,0,0,0,0,0,0,0,0
11999,1 nomination.,0,1,0,0,0,0,0,0,0,0
12025,Nominated for 1 Primetime Emmy. Another 1 win.,1,1,0,0,0,0,0,0,1,0
12027,1 win.,1,0,0,0,0,0,0,0,0,0
12028,2 wins.,2,0,0,0,0,0,0,0,0,0
12049,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
12050,4 nominations.,0,4,0,0,0,0,0,0,0,0
12074,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
12095,2 nominations.,0,2,0,0,0,0,0,0,0,0
12125,1 nomination.,0,1,0,0,0,0,0,0,0,0
12126,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
12134,1 nomination.,0,1,0,0,0,0,0,0,0,0
12155,1 nomination.,0,1,0,0,0,0,0,0,0,0
12191,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
12230,5 wins & 13 nominations.,5,13,0,0,0,0,0,0,0,0
12231,1 nomination.,0,1,0,0,0,0,0,0,0,0
12264,1 nomination.,0,1,0,0,0,0,0,0,0,0
12265,1 nomination.,0,1,0,0,0,0,0,0,0,0
12272,1 win.,1,0,0,0,0,0,0,0,0,0
12285,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
12288,1 nomination.,0,1,0,0,0,0,0,0,0,0
12292,1 nomination.,0,1,0,0,0,0,0,0,0,0
12303,2 nominations.,0,2,0,0,0,0,0,0,0,0
12331,3 wins & 22 nominations.,3,22,0,0,0,0,0,0,0,0
12339,1 nomination.,0,1,0,0,0,0,0,0,0,0
12359,1 win.,1,0,0,0,0,0,0,0,0,0
12400,1 nomination.,0,1,0,0,0,0,0,0,0,0
12404,2 wins.,2,0,0,0,0,0,0,0,0,0
12431,1 nomination.,0,1,0,0,0,0,0,0,0,0
12436,1 nomination.,0,1,0,0,0,0,0,0,0,0
12449,2 nominations.,0,2,0,0,0,0,0,0,0,0
12469,1 win.,1,0,0,0,0,0,0,0,0,0
12492,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
12544,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
12551,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
12552,1 nomination.,0,1,0,0,0,0,0,0,0,0
12576,4 nominations.,0,4,0,0,0,0,0,0,0,0
12577,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
12578,2 nominations.,0,2,0,0,0,0,0,0,0,0
12579,1 nomination.,0,1,0,0,0,0,0,0,0,0
12602,1 nomination.,0,1,0,0,0,0,0,0,0,0
12608,1 nomination.,0,1,0,0,0,0,0,0,0,0
12627,1 win.,1,0,0,0,0,0,0,0,0,0
12628,Nominated for 1 Oscar. Another 1 win & 3 nominations.,1,4,0,0,0,0,1,0,0,0
12657,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
12689,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
12696,1 nomination.,0,1,0,0,0,0,0,0,0,0
12697,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
12700,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
12702,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
12740,Nominated for 1 Oscar. Another 1 nomination.,0,2,0,0,0,0,1,0,0,0
12770,1 nomination.,0,1,0,0,0,0,0,0,0,0
12782,1 nomination.,0,1,0,0,0,0,0,0,0,0
12818,1 nomination.,0,1,0,0,0,0,0,0,0,0
12828,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
12886,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
12926,1 nomination.,0,1,0,0,0,0,0,0,0,0
12956,1 nomination.,0,1,0,0,0,0,0,0,0,0
12991,5 wins & 10 nominations.,5,10,0,0,0,0,0,0,0,0
13093,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
13120,4 wins.,4,0,0,0,0,0,0,0,0,0
13140,1 nomination.,0,1,0,0,0,0,0,0,0,0
13199,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
13219,3 wins.,3,0,0,0,0,0,0,0,0,0
13326,1 win.,1,0,0,0,0,0,0,0,0,0
13342,1 win.,1,0,0,0,0,0,0,0,0,0
13345,6 wins.,6,0,0,0,0,0,0,0,0,0
13362,1 nomination.,0,1,0,0,0,0,0,0,0,0
13381,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
13423,1 nomination.,0,1,0,0,0,0,0,0,0,0
13433,1 win.,1,0,0,0,0,0,0,0,0,0
13452,4 nominations.,0,4,0,0,0,0,0,0,0,0
13544,1 nomination.,0,1,0,0,0,0,0,0,0,0
13550,1 nomination.,0,1,0,0,0,0,0,0,0,0
13569,1 win.,1,0,0,0,0,0,0,0,0,0
13618,1 win.,1,0,0,0,0,0,0,0,0,0
13619,1 nomination.,0,1,0,0,0,0,0,0,0,0
13620,1 nomination.,0,1,0,0,0,0,0,0,0,0
13668,1 win.,1,0,0,0,0,0,0,0,0,0
13669,5 wins.,5,0,0,0,0,0,0,0,0,0
13699,1 win.,1,0,0,0,0,0,0,0,0,0
13727,2 nominations.,0,2,0,0,0,0,0,0,0,0
13879,1 nomination.,0,1,0,0,0,0,0,0,0,0
13898,1 nomination.,0,1,0,0,0,0,0,0,0,0
13997,1 win.,1,0,0,0,0,0,0,0,0,0
14003,1 nomination.,0,1,0,0,0,0,0,0,0,0
14007,1 win.,1,0,0,0,0,0,0,0,0,0
14046,1 nomination.,0,1,0,0,0,0,0,0,0,0
14089,2 nominations.,0,2,0,0,0,0,0,0,0,0
14136,1 nomination.,0,1,0,0,0,0,0,0,0,0
14137,2 nominations.,0,2,0,0,0,0,0,0,0,0
14249,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
14346,2 nominations.,0,2,0,0,0,0,0,0,0,0
14432,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
14599,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
14652,1 nomination.,0,1,0,0,0,0,0,0,0,0
14761,1 nomination.,0,1,0,0,0,0,0,0,0,0
14792,1 nomination.,0,1,0,0,0,0,0,0,0,0
14800,2 nominations.,0,2,0,0,0,0,0,0,0,0
14805,1 win.,1,0,0,0,0,0,0,0,0,0
14873,1 win.,1,0,0,0,0,0,0,0,0,0
14908,1 nomination.,0,1,0,0,0,0,0,0,0,0
15177,1 nomination.,0,1,0,0,0,0,0,0,0,0
15180,2 nominations.,0,2,0,0,0,0,0,0,0,0
15219,2 nominations.,0,2,0,0,0,0,0,0,0,0
15230,1 nomination.,0,1,0,0,0,0,0,0,0,0
15234,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
15269,7 nominations.,0,7,0,0,0,0,0,0,0,0
