,home,Score
0,Abahani Limited,172.0
1,Abbottabad Falcons,139.45454545454547
2,Abbottabad Region,182.66666666666666
3,Abbottabad Rhinos,165.0
4,Adelaide Strikers,163.11111111111111
5,Afghanistan,145.5609756097561
6,Andhra,130.69230769230768
7,Antigua,146.0
8,Antigua Hawksbills,106.0
9,Antigua and Barbuda,153.0
10,Assam,139.0
11,Auckland,164.25714285714287
12,Australia,154.78787878787878
13,Australia A,174.0
14,Azad Jammu & Kashmir Region,123.0
15,Badureliya Sports Club,155.0
16,Bahawalpur Region,154.6
17,Bahawalpur Stags,149.16666666666666
18,Baluchistan,217.0
19,Bangladesh,145.13333333333333
20,Bangladesh A,166.0
21,Bangladesh XI,132.0
22,Barbados,120.84615384615384
23,Barbados Tridents,147.6153846153846
24,Barisal Bulls,157.75
25,Barisal Burners,154.72727272727272
26,Barisal Division,118.0
27,Baroda,148.71428571428572
28,Basnahira,141.66666666666666
29,Basnahira Cricket Dundee,129.0
30,Basnahira Greens,139.0
31,Basnahira North,126.0
32,Basnahira South,139.75
33,Bengal,154.76
34,Bermuda,149.5
35,Bloomfield Cricket and Athletic Club,124.16666666666667
36,Boland,146.57142857142858
37,Border,135.7
38,Brisbane Heat,181.42857142857142
39,Burgher Recreation Club,132.4
40,Canada,133.58333333333334
41,Canterbury,161.9
42,Cape Cobras,155.15384615384616
43,Central Districts,165.9090909090909
44,Centrals,117.0
45,Chennai Super Kings,167.34426229508196
46,Chilaw Marians Cricket Club,155.75
47,Chittagong Kings,159.1
48,Chittagong Vikings,162.5
49,Colombo Commandos,155.0
50,Colombo Cricket Club,161.75
51,Colts Cricket Club,157.55555555555554
52,Combined Campuses and Colleges,134.5
53,Combined Provinces,156.0
54,Comilla Victorians,138.85714285714286
55,Deccan Chargers,153.92307692307693
56,Delhi,145.93939393939394
57,Delhi Daredevils,155.0
58,Derbyshire,146.57142857142858
59,Dhaka Division,130.0
60,Dhaka Dynamites,138.8
61,Dhaka Gladiators,172.66666666666666
62,Dhaka Metropolis,168.5
63,Dolphins,157.17857142857142
64,Durham,155.37142857142857
65,Duronto Rajshahi,149.4
66,Eagles,152.08333333333334
67,Eastern Cape,116.0
68,Eastern Province,131.92307692307693
69,Easterns,148.33333333333334
70,Easterns (Zimbabwe),144.25
71,England,157.76470588235293
72,England Lions,149.33333333333334
73,Essex,167.3409090909091
74,FATA Cheetas,140.0
75,Faisalabad Wolves,149.58620689655172
76,Federally Administered Tribal Areas,139.5
77,Free State,150.9
78,Galle Cricket Club,109.0
79,Galle Guardians,145.33333333333334
80,Gauteng,129.22222222222223
81,Glamorgan,145.3548387096774
82,Gloucestershire,154.63636363636363
83,Goa,154.9
84,Grenada,70.0
85,Griqualand West,138.44444444444446
86,Gujarat,153.84615384615384
87,Gujarat Lions,161.0
88,Guyana,139.57142857142858
89,Guyana Amazon Warriors,136.06666666666666
90,Habib Bank Limited,139.4
91,Hambantota Troopers,132.5
92,Hampshire,161.79591836734693
93,Haryana,138.15
94,Himachal Pradesh,138.23076923076923
95,Hobart Hurricanes,174.72727272727272
96,Hong Kong,129.66666666666666
97,Hyderabad (India),164.33333333333334
98,Hyderabad Hawks,160.28571428571428
99,Hyderabad Region,175.0
100,India,148.1818181818182
101,India A,214.0
102,Ireland,128.28
103,Islamabad,151.0
104,Islamabad Leopards,135.33333333333334
105,Islamabad United,149.85714285714286
106,Italy,130.2
107,Jamaica,117.36363636363636
108,Jamaica Tallawahs,151.8125
109,Jersey,107.0
110,Jharkhand,130.9
111,Kandurata,141.66666666666666
112,Kandurata Maroons,132.0
113,Kandurata Warriors,155.0
114,Kandy Crusaders,156.0
115,Karachi Blues,169.5
116,Karachi Kings,154.5
117,Karachi Region Blues,185.0
118,Karachi Whites,161.0
119,Karachi Zebras,159.11111111111111
120,Karnataka,134.33333333333334
121,Kent,157.525
122,Kenya,146.0
123,Kerala,143.0
124,Khan Research Laboratories,131.66666666666666
125,Khan Research Labs,131.66666666666666
126,Khulna Division,134.0
127,Khulna Royal Bengals,168.8
128,Khulna Titans,133.0
129,Khyber Pakhtunkhwa,146.0
130,Kings XI Punjab,169.25
131,Knights,154.9090909090909
132,Kochi Tuskers Kerala,129.66666666666666
133,Kolkata Knight Riders,146.57142857142858
134,Kurunegala Warriors,143.5
135,Kurunegala Youth Cricket Club,148.0
136,KwaZulu-Natal,137.2
137,KwaZulu-Natal Inland,137.25
138,Lahore Blues,136.0
139,Lahore Eagles,165.07692307692307
140,Lahore Lions,159.52631578947367
141,Lahore Qalandars,179.0
142,Lahore Region Blues,125.5
143,Lahore Region Whites,169.0
144,Lahore Whites,162.66666666666666
145,Lancashire,154.05769230769232
146,Lankan Cricket Club,93.0
147,Larkana Region,142.0
148,Leicestershire,156.27027027027026
149,Lions,154.02702702702703
150,Madhya Pradesh,142.5909090909091
151,Maharashtra,144.875
152,Mashonaland Eagles,158.2941176470588
153,Matabeleland Tuskers,139.0
154,Melbourne Renegades,142.0
155,Melbourne Stars,150.86666666666667
156,Mid West Rhinos,153.42857142857142
157,Middlesex,150.66666666666666
158,Mohammedan Sporting Club,130.0
159,Montserrat,70.0
160,Moors Sports Club,144.85714285714286
161,Mountaineers,158.85714285714286
162,Multan Region,147.5
163,Multan Tigers,132.125
164,Mumbai,154.0
165,Mumbai Indians,166.9090909090909
166,Nagenahira Nagas,77.0
167,Namibia,158.0
168,National Bank of Pakistan,81.0
169,Nepal,132.0
170,Netherlands,141.07692307692307
171,Nevis,104.0
172,New South Wales,137.5
173,New Zealand,152.5
174,New Zealand A,227.0
175,Nondescripts Cricket Club,159.55555555555554
176,North Island,127.0
177,North West,168.88888888888889
178,Northamptonshire,163.0810810810811
179,Northern Cape,162.33333333333334
180,Northern Districts,159.875
181,Northerns,129.5
182,Northerns (Zimbabwe),198.5
183,Nottinghamshire,165.47058823529412
184,Odisha,146.5
185,Orissa,140.66666666666666
186,Otago,169.0
187,Pakistan,153.42105263157896
188,Pakistan A,189.0
189,Pakistan International Airlines,139.75
190,Pakistan Television,143.0
191,Panadura Sports Club,133.66666666666666
192,Perth Scorchers,155.52941176470588
193,Peshawar,140.0
194,Peshawar Panthers,146.0
195,Peshawar Region,170.0
196,Peshawar Zalmi,145.0
197,Police Sports Club,174.0
198,Port Qasim Authority,190.0
199,Prime Bank Cricket Club,149.0
200,Pune Warriors,151.0
201,Punjab,131.8
202,Queensland,170.14285714285714
203,Quetta Gladiators,146.0
204,Ragama Cricket Club,150.625
205,Railways,140.92307692307693
206,Rajasthan,152.45454545454547
207,Rajasthan Royals,156.4102564102564
208,Rajshahi Division,131.0
209,Rangpur Riders,137.88888888888889
210,Rawalpindi Rams,163.66666666666666
211,Rising Pune Supergiants,124.5
212,Royal Challengers Bangalore,163.95744680851064
213,Ruhuna,150.625
214,Ruhuna Royals,145.0
215,Saracens Sports Club,142.5
216,Saurashtra,144.0
217,Scotland,140.6
218,Sebastianites Cricket and Athletic Club,139.0
219,Services,109.0
220,Sialkot Region,163.0
221,Sialkot Stallions,169.0
222,Sinhalese Sports Club,158.25
223,Somerset,180.33333333333334
224,South Africa,159.5185185185185
225,South Australia,163.375
226,South Western Districts,133.6
227,Southern Rocks,122.0
228,Sri Lanka,161.52941176470588
229,Sri Lanka A,140.375
230,Sri Lanka Air Force Sports Club,143.0
231,Sri Lanka Army,128.5
232,Sri Lanka Ports Authority Cricket Club,117.0
233,St Kitts and Nevis Patriots,178.2
234,St Lucia Zouks,146.83333333333334
235,St Vincent,96.0
236,Stanford Superstars,140.0
237,State Bank of Pakistan,129.33333333333334
238,Sui Northern Gas Pipelines Limited,66.0
239,Sunrisers Hyderabad,149.1764705882353
240,Surrey,155.7906976744186
241,Sussex,157.33333333333334
242,Sydney Sixers,157.54545454545453
243,Sydney Thunder,160.75
244,Sylhet Royals,126.0
245,Sylhet Super Stars,112.0
246,Tamil Nadu,172.0
247,Tamil Union Cricket and Athletic Club,155.625
248,Tasmania,161.28571428571428
249,Titans,155.475
250,Trinbago Knight Riders,170.0
251,Trinidad & Tobago,141.2
252,Trinidad & Tobago Red Steel,153.8181818181818
253,Udarata Rulers,159.0
254,Uganda,124.0
255,United Arab Emirates,139.08333333333334
256,Uthura Rudras,156.0
257,Uthura Yellows,158.0
258,Uttar Pradesh,151.14285714285714
259,Uva Next,101.0
260,Victoria,167.41666666666666
261,Warriors,145.0857142857143
262,Warwickshire,157.925
263,Wayamba,131.75
264,Wayamba United,156.0
265,Wellington,166.35294117647058
266,West Indies,135.42857142857142
267,West Indies A,122.6
268,Western Australia,169.875
269,Western Province,151.5
270,Western Troopers,165.0
271,Worcestershire,168.05882352941177
272,Yorkshire,158.0
273,Zimbabwe,161.0
274,Zimbabwe XI,160.0
